20250102 090100;251.36;251.36;250.6;250.6;212
20250102 090200;251.42;251.42;251.26;251.26;716
20250102 090300;251.32;251.32;251.31;251.31;200
20250102 090400;251.21;251.21;251.09;251.09;1160
20250102 090500;251.02;251.13;251.02;251.13;200
20250102 090600;251.15;251.21;251.15;251.21;1000
20250102 090700;251.2;251.45;251.2;251.45;2604
20250102 090800;251.39;251.39;251.39;251.39;100
20250102 091300;251.54;251.54;251.54;251.54;100
20250102 091400;251.49;251.49;251.42;251.42;626
20250102 091600;251.41;251.41;251.41;251.41;390
20250102 091800;251.39;251.7;251.39;251.7;2715
20250102 092000;251.66;251.68;251.66;251.66;1651
20250102 092100;251.66;251.66;251.66;251.66;110
20250102 092400;251.68;251.9;251.68;251.9;3044
20250102 092700;251.7;251.7;251.65;251.65;462
20250102 092800;251.74;251.76;251.74;251.76;200
20250102 093000;251.72;251.72;251.66;251.7;702
20250102 093300;251.75;251.83;251.75;251.83;438
20250102 093400;251.79;251.79;251.79;251.79;100
20250102 093600;251.79;251.79;251.79;251.79;100
20250102 093700;251.71;251.71;251.71;251.71;100
20250102 093900;251.65;251.7;251.5;251.5;2568
20250102 094000;251.41;251.43;251.41;251.43;1417
20250102 094300;251.5;251.5;251.5;251.5;461
20250102 094700;251.49;251.49;251.36;251.36;618
20250102 095300;251.31;251.31;251.3;251.3;840
20250102 100400;251.26;251.29;251.21;251.21;1264
20250102 100800;251.16;251.16;251.04;251.04;800
20250102 101200;251.05;251.05;250.8;250.8;4322
20250102 101300;250.67;250.81;250.61;250.81;707
20250102 101400;250.79;250.79;250.65;250.65;695
20250102 101500;250.69;250.69;250.45;250.45;2544
20250102 101600;250.61;250.61;250.57;250.57;480
20250102 101900;250.7;250.7;250.7;250.7;200
20250102 102000;250.65;250.65;250.65;250.65;100
20250102 102200;250.7;250.86;250.7;250.86;1276
20250102 102400;250.8;250.8;250.8;250.8;100
20250102 102500;250.83;250.91;250.75;250.82;5950
20250102 102600;250.75;250.75;250.75;250.75;100
20250102 102900;250.8;250.8;250.71;250.71;1578
20250102 103000;250.79;250.85;250.78;250.85;1032
20250102 103100;250.79;250.79;250.71;250.71;400
20250102 103400;250.86;250.91;250.86;250.91;410
20250102 103600;250.91;250.91;250.81;250.81;1812
20250102 103900;250.89;250.91;250.86;250.91;1625
20250102 104100;250.82;250.86;250.82;250.86;200
20250102 104300;250.86;250.91;250.85;250.85;2330
20250102 104500;250.9;250.91;250.83;250.83;2618
20250102 104700;250.9;250.91;250.9;250.91;552
20250102 104900;250.91;250.91;250.91;250.91;366
20250102 105000;250.83;250.83;250.81;250.81;700
20250102 105100;250.82;250.82;250.82;250.82;100
20250102 105200;250.7;250.7;250.7;250.7;227
20250102 105400;250.63;250.63;250.55;250.55;525
20250102 105500;250.53;250.53;250.51;250.52;823
20250102 105900;250.62;250.62;250.55;250.55;928
20250102 110100;250.6;250.6;250.55;250.55;359
20250102 110300;250.51;250.51;250.51;250.51;100
20250102 110900;250.47;250.47;250.32;250.33;808
20250102 111100;250.38;250.38;250.3;250.3;956
20250102 111200;250.28;250.39;250.24;250.39;595
20250102 111300;250.29;250.29;250.29;250.29;100
20250102 111400;250.28;250.28;250.28;250.28;100
20250102 112000;250.28;250.44;250.28;250.44;800
20250102 112100;250.41;250.41;250.41;250.41;100
20250102 112300;250.43;250.43;250.43;250.43;100
20250102 112400;250.35;250.35;250.35;250.35;100
20250102 112500;250.33;250.33;250.33;250.33;100
20250102 112900;250.32;250.32;250.32;250.32;1400
20250102 113000;250.32;250.32;250.32;250.32;587
20250102 113100;250.32;250.34;250.32;250.32;714
20250102 113200;250.33;250.33;250.2;250.2;1200
20250102 113300;250.14;250.14;249.94;249.94;1320
20250102 113500;250;250;250;250;1200
20250102 113600;249.96;249.96;249.96;249.96;450
20250102 113700;249.96;250.04;249.96;250.03;851
20250102 113800;250.06;250.06;249.87;249.87;2988
20250102 114000;249.96;249.96;249.9;249.9;975
20250102 114300;249.97;250.02;249.97;250.02;1917
20250102 114400;250.16;250.16;250.12;250.12;300
20250102 114800;250.18;250.18;250.18;250.18;187
20250102 114900;250.18;250.18;250.18;250.18;507
20250102 115000;250.15;250.16;250.12;250.12;701
20250102 115100;250.05;250.07;250.02;250.05;905
20250102 115200;250.09;250.11;250.09;250.11;700
20250102 115300;250;250;249.96;249.96;1000
20250102 115400;249.93;249.93;249.91;249.92;400
20250102 115500;250;250.09;250;250.09;637
20250102 115600;250.04;250.04;250;250;456
20250102 115700;250.12;250.14;250.07;250.07;500
