20250102 090100;424.5;424.5;424.5;424.5;470
20250102 090200;424.27;424.27;424.26;424.26;200
20250102 090300;424.03;424.03;423.91;423.91;274
20250102 090500;424;424;424;424;705
20250102 090700;424.11;424.39;424.11;424.39;857
20250102 090800;424.43;424.6;424.43;424.6;300
20250102 091100;424.71;424.71;424.71;424.71;100
20250102 091300;424.74;424.74;424.71;424.71;297
20250102 091400;424.72;424.72;424.63;424.63;300
20250102 091600;424.62;424.62;424.62;424.62;317
20250102 091900;424.78;424.9;424.71;424.71;894
20250102 092300;424.71;424.71;424.71;424.71;100
20250102 093600;424.67;424.67;424.67;424.67;210
20250102 093700;424.59;424.59;424.59;424.59;198
20250102 094000;424.25;424.25;424.25;424.25;100
20250102 094600;424.65;424.65;424.65;424.65;100
20250102 095200;424.86;425.22;424.86;425.22;850
20250102 095300;425.47;425.47;425.47;425.47;100
20250102 095400;425;425;425;425;325
20250102 095800;425.21;425.21;425.21;425.21;200
20250102 100500;425;425.02;425;425.02;459
20250102 100700;425;425;424.98;425;524
20250102 100800;425;425;425;425;697
20250102 101400;424.87;424.87;424.87;424.87;100
20250102 102800;425.2;425.2;425.2;425.2;100
20250102 102900;425.2;425.24;425.2;425.24;378
20250102 103100;425.23;425.23;425.23;425.23;100
20250102 103200;425.18;425.18;425.18;425.18;100
20250102 103600;425.26;425.3;425.26;425.3;530
20250102 104800;425.41;425.47;425.41;425.47;200
20250102 105200;425.29;425.29;425.27;425.27;224
20250102 105300;425.4;425.4;425.4;425.4;100
20250102 105900;425.5;425.5;425.5;425.5;100
20250102 110300;425.32;425.32;425.26;425.26;200
20250102 110500;425.37;425.37;425.37;425.37;100
20250102 111600;425.88;426.25;425.88;426.22;625
20250102 111700;426.49;426.56;426.49;426.56;400
20250102 111800;426.2;426.2;426.2;426.2;100
20250102 112200;426.32;426.32;426.26;426.26;200
20250102 112300;426.26;426.26;425.94;425.94;200
20250102 113400;425.72;425.72;425.72;425.72;200
20250102 113500;425.72;426;425.7;426;431
20250102 114100;426.22;426.27;426.22;426.27;350
20250102 114200;426.36;426.36;426.36;426.36;100
20250102 114300;426.65;426.65;426.65;426.65;100
20250102 114500;426.85;426.98;426.85;426.93;500
20250102 114600;427.21;427.21;427;427;2121
20250102 115000;427.34;427.34;427.34;427.34;100
20250102 115100;427.13;427.13;427.13;427.13;125
20250102 115200;426.98;426.98;426.98;426.98;875
20250102 115300;426.72;426.78;426.72;426.78;225
20250102 115700;426.7;427.03;426.7;427.03;841
20250102 115900;427.62;427.89;427.62;427.71;1675
20250102 120000;428.14;428.3;428.13;428.13;2226
20250102 120100;427.83;427.83;427.25;427.45;858
20250102 120200;427.5;428;427.5;428;430
20250102 120300;427.81;427.82;427.81;427.82;254
20250102 120400;427.99;427.99;427.62;427.62;554
20250102 120500;427.55;427.59;427.55;427.59;350
20250102 120600;427.58;427.58;427.5;427.5;200
20250102 120700;427.6;427.9;427.6;427.9;1307
20250102 120800;427.9;427.9;427.9;427.9;100
20250102 121000;427.8;427.8;427.8;427.8;200
20250102 121100;427.84;427.84;427.55;427.55;398
20250102 121200;427.55;427.55;427.55;427.55;579
20250102 121400;427.55;427.7;427.55;427.7;350
20250102 121600;427.43;427.43;427.43;427.43;100
20250102 121700;427.65;427.65;427.65;427.65;835
20250102 121800;427.65;427.65;427.65;427.65;100
20250102 122000;427.47;427.47;427.47;427.47;100
20250102 122200;427.51;427.51;427.51;427.51;200
20250102 122500;427.61;427.61;427.61;427.61;1731
20250102 122600;427.75;427.75;427.75;427.75;100
20250102 122700;427.61;427.61;427.61;427.61;599
20250102 122800;427.61;427.61;427.61;427.61;900
20250102 122900;427.61;427.72;427.61;427.72;1392
20250102 123100;427.72;427.72;427.65;427.65;2678
20250102 123200;427.65;427.65;427.61;427.61;2094
20250102 123800;427.35;427.38;427.35;427.37;300
20250102 124100;427.3;427.3;427.3;427.3;100
20250102 124200;427.2;427.2;427.11;427.11;323
20250102 124300;427;427;427;427;293
20250102 124600;426.76;426.76;426.76;426.76;100
