20250102 090100;408;411.9;408;411.74;17552
20250102 090200;411.79;412.42;411.2;412.14;16912
20250102 090300;412.11;412.11;409.74;409.89;14798
20250102 090400;409.89;410;407.92;408.29;14280
20250102 090500;408.74;410.13;408.72;409.42;10800
20250102 090600;409.58;410.31;409.56;410;19490
20250102 090700;410;410.31;409.86;410.31;8250
20250102 090800;410.29;410.29;408.84;409.56;27217
20250102 090900;409.83;409.83;408.59;408.61;5229
20250102 091000;408.79;409;408.62;408.98;3831
20250102 091100;408.95;409.24;407.8;407.82;10276
20250102 091200;407.85;408.53;407.41;408.51;5989
20250102 091300;408.61;409;408.61;408.82;4045
20250102 091400;408.72;408.72;408.51;408.69;1144
20250102 091500;408.64;409.89;408.64;409.62;7090
20250102 091600;409.45;409.48;409.25;409.36;1279
20250102 091700;409.22;409.66;409.22;409.56;2324
20250102 091800;409.65;410.24;409.65;409.95;6296
20250102 091900;410.1;410.19;409.6;409.82;2862
20250102 092000;410.18;410.66;410;410.66;2777
20250102 092100;410.64;410.65;410.1;410.1;2956
20250102 092200;410.01;410.01;409.46;409.52;1480
20250102 092300;409.25;409.59;409.05;409.06;2200
20250102 092400;409.15;409.49;409.15;409.49;1307
20250102 092500;409.5;409.5;409.35;409.35;600
20250102 092600;409.15;409.15;408.42;408.63;3674
20250102 092700;408.6;408.8;408.35;408.67;7278
20250102 092800;408.67;408.7;408.25;408.25;2598
20250102 092900;408.33;408.5;407.89;407.98;5637
20250102 093000;407.91;408.4;407.81;408.4;3644
20250102 093100;408.4;408.93;408.4;408.7;3359
20250102 093200;408.37;408.37;408.28;408.3;300
20250102 093300;408.33;408.55;408.23;408.28;800
20250102 093400;408.44;408.44;408.21;408.21;1674
20250102 093500;408.36;408.7;408.29;408.7;2329
20250102 093600;408.99;408.99;408.66;408.8;1089
20250102 093700;408.83;409.11;408.7;409.11;3307
20250102 093800;409.19;409.51;408.99;409.51;2434
20250102 093900;409.73;409.85;409.44;409.48;3046
20250102 094000;409.22;409.24;409;409.16;1200
20250102 094100;409.06;409.06;408.89;408.89;1074
20250102 094200;408.87;408.87;408.39;408.44;2527
20250102 094300;408.5;409.03;408.5;409.03;841
20250102 094400;409.03;409.25;408.91;409;3926
20250102 094600;408.84;409.13;408.77;409.13;1797
20250102 094700;409.15;409.39;409.15;409.34;825
20250102 094800;409.37;409.5;409.21;409.32;1105
20250102 094900;409.49;409.5;409.36;409.38;800
20250102 095000;409.41;409.41;409.33;409.34;453
20250102 095100;409.35;409.41;409.23;409.3;1688
20250102 095200;409.23;409.23;408.87;408.93;3747
20250102 095300;408.81;408.81;408.62;408.62;500
20250102 095400;408.66;408.72;408.57;408.57;2383
20250102 095500;408.51;408.51;408.17;408.21;4031
20250102 095600;408.3;408.5;408.3;408.44;1525
20250102 095700;408.44;408.53;408;408.53;4966
20250102 095800;408.52;408.9;408.52;408.9;320
20250102 095900;408.85;409.44;408.85;409.28;1478
20250102 100000;409.39;409.39;409.15;409.33;700
20250102 100100;409.48;409.49;408.7;408.7;4652
20250102 100200;408.52;408.52;408.11;408.28;2119
20250102 100400;408.59;408.59;408.55;408.56;600
20250102 100500;409.08;409.08;409.08;409.08;240
20250102 100600;408.94;409.11;408.81;408.81;639
20250102 100700;408.78;408.95;408.51;408.57;1452
20250102 100800;408.66;408.66;408.66;408.66;100
20250102 100900;408.6;408.64;408.58;408.58;649
20250102 101000;408.72;408.9;408.7;408.8;1046
20250102 101100;408.67;408.67;408.67;408.67;100
20250102 101300;408.76;408.9;408.7;408.79;6138
20250102 101400;408.74;408.85;408.71;408.73;4858
20250102 101500;408.86;408.94;408.75;408.94;600
20250102 101600;409.19;409.19;409.1;409.17;1183
20250102 101700;409;409.02;408.89;408.9;1293
20250102 101800;408.79;408.83;408.74;408.74;500
20250102 101900;408.71;408.93;408.7;408.84;799
20250102 102100;409.06;409.07;409.06;409.06;400
20250102 102200;409;409;408.92;408.92;200
20250102 102300;409.08;409.1;408.98;409;1000
20250102 102400;409;409.11;409;409.06;1043
20250102 102500;408.8;408.8;408.47;408.53;1711
