bar_index,timestamp,type,nq_close,nq_swing,comp_close,comp_swing,status
16,2025-09-15 12:05:00,BEARISH,24392.25,24389.0,2575.4800000000005,2576.14,DETECTED
29,2025-09-15 12:24:00,BEARISH,24412.75,24404.0,2571.95,2575.77,DETECTED
74,2025-09-15 13:31:00,BEARISH,24430.25,24423.25,2571.71,2576.0899999999997,DETECTED
93,2025-09-15 13:50:00,BEARISH,24470.75,24470.5,2578.3500000000004,2579.4500000000003,DETECTED
102,2025-09-15 13:59:00,BEARISH,24497.5,24492.75,2577.1,2579.8399999999997,DETECTED
220,2025-09-15 15:57:00,BEARISH,24525.25,24524.25,2594.95,2595.1,DETECTED
451,2025-09-15 19:48:00,BEARISH,24532.0,24531.5,2583.01,2597.4,DETECTED
461,2025-09-15 19:58:00,BEARISH,24543.25,24535.5,2586.47,2597.4,DETECTED
1356,2025-09-18 08:30:00,BEARISH,24693.0,24627.0,2626.91,2626.9199999999996,DETECTED
1359,2025-09-18 11:18:00,BEARISH,24742.25,24735.5,2624.25,2628.7000000000003,DETECTED
1445,2025-09-18 14:11:00,BEARISH,24758.5,24753.5,2622.3600000000006,2628.7000000000003,DETECTED
